Package CNVassoc version 2.2
Package built using 73707/R 3.5.0; x86_64-pc-linux-gnu; 2017-11-10 16:19:57 UTC; unix   
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRweibull.c:108
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRweibull.c:113
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRweibull.c:113
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRweibull.c:119
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRweibull.c:119
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRweibull.c:119

Function NRweibullcov
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:82
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:83
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:84
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:85
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:87
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:88
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:90
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:92
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:95
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:96
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibullcov.c:98
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRweibullcov.c:108
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRweibullcov.c:113
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRweibullcov.c:113
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRweibullcov.c:119
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRweibullcov.c:119
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRweibullcov.c:119
