Abc384_1	7048	FluoOptima	FMCA 384 800	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
575	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
595	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
591	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
655	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
526	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
557	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
575	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
624	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	16622	65000	65000	65000
565	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
644	65000	65000	65000	65000	65000	65000	65000	65000	4575	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
616	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
639	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	1728	65000	65000	65000	65000	65000	65000	65000	65000
705	65000	65000	65000	65000	65000	65000	3982	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
631	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
Abc384_4	7051	FluoOptima	FMCA 384 800	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
295	19010	36806	32610	37656	35051	38525	37171	36236	36806	8293	36384	39124	34575	35264	32442	28969	18509	19387	13690	19821	29687	35722	34343
199	35033	37151	35201	36264	33998	28976	32485	36153	33621	35646	34378	36288	8754	35517	31730	34714	32316	34248	31804	3722	32507	37349	33959
216	37860	39917	36930	37133	37408	37747	28346	36455	36007	36039	34416	37593	33385	35016	34969	35567	34573	35342	33883	34932	34792	36788	36727
199	35033	37151	35201	36264	33998	28976	32485	36153	33621	35646	34378	36288	8754	35517	31730	34714	32316	34248	31804	3722	32507	37349	33959
